,index,Customer ID,Gender,Age,Income (USD/Month),Transaction ID,Payment_Mode
0,0,1,Male,36,16359,10104483,Card
1,29,2,Male,31,12069,10204329,Cash
2,69,3,Female,27,12968,10021236,Card
3,115,4,Male,33,13803,10398558,Card
4,141,5,Male,24,9965,10181680,Card
5,172,6,Male,18,4232,10122750,Cash
6,200,7,Male,31,15104,10278367,Card
7,236,8,Male,20,7496,10390305,Cash
8,271,9,Male,32,21212,10233528,Card
9,311,10,Female,48,12768,10264648,Card
10,335,11,Female,27,26064,10287007,Card
11,378,12,Female,45,7426,10312964,Card
12,408,13,Male,28,8905,10086758,Card
13,442,14,Male,50,6461,10124497,Card
14,472,15,Male,35,2951,10366672,Cash
15,510,16,Female,18,27285,10198418,Card
16,537,17,Male,59,23227,10190428,Card
17,571,18,Male,42,22586,10235837,Cash
18,607,19,Female,47,24898,10204138,Cash
19,648,20,Male,63,17551,10058088,Cash
20,678,21,Male,39,15375,10385002,Cash
21,708,22,Female,34,7627,10363690,Cash
22,749,23,Female,28,19783,10344447,Cash
23,784,24,Male,40,12701,10113111,Cash
24,807,25,Male,30,17708,10088460,Cash
25,846,26,Male,44,5343,10317064,Card
26,884,27,Female,36,2826,10243362,Card
27,922,28,Male,25,6808,10101022,Card
28,960,29,Female,59,12740,10232020,Cash
29,990,30,Male,19,15361,10381478,Cash
30,1022,31,Female,29,5790,10290394,Card
31,1057,32,Female,62,13535,10148561,Card
32,1091,33,Female,22,10792,10198068,Card
33,1132,34,Female,24,16935,10093562,Card
34,1152,35,Female,39,21879,10140707,Cash
35,1180,36,Female,38,9050,10190289,Cash
36,1213,37,Female,25,20505,10332803,Card
37,1248,38,Male,59,7232,10268312,Card
38,1284,39,Male,23,18059,10133407,Cash
39,1314,40,Female,19,13106,10278593,Cash
40,1342,41,Male,30,19946,10431489,Cash
41,1371,42,Female,27,3120,10126445,Card
42,1405,43,Male,27,5061,10406484,Card
43,1439,44,Male,22,14987,10093641,Cash
44,1481,45,Male,21,19990,10000936,Card
45,1521,46,Female,37,19348,10017547,Card
46,1549,47,Male,33,13758,10371136,Cash
47,1584,48,Male,18,20946,10035049,Cash
48,1619,49,Female,47,23010,10383014,Card
49,1661,50,Male,24,23726,10278616,Card
50,1686,51,Male,25,32471,10036232,Cash
51,1718,52,Male,23,14300,10201291,Card
52,1762,53,Male,37,4822,10100430,Card
53,1792,54,Female,28,8227,10414629,Card
54,1828,55,Female,27,22531,10153106,Card
55,1860,56,Female,18,15353,10074328,Card
56,1888,57,Male,53,15898,10224479,Card
57,1929,58,Female,36,11686,10137428,Card
58,1963,59,Male,56,9181,10108106,Card
59,2006,60,Male,22,7305,10323219,Card
60,2037,61,Female,63,3110,10213805,Card
61,2073,62,Male,25,26144,10284830,Card
62,2100,63,Male,40,8840,10264213,Cash
63,2131,64,Male,22,21502,10306514,Card
64,2167,65,Female,51,11121,10130476,Cash
65,2203,66,Male,33,21248,10292576,Card
66,2242,67,Male,25,5668,10195661,Cash
67,2272,68,Female,42,12108,10131837,Cash
68,2308,69,Male,23,15234,10032997,Card
69,2341,70,Male,20,2197,10435484,Card
70,2362,71,Male,35,2443,10352045,Cash
71,2398,72,Male,41,16769,10042032,Card
72,2434,73,Male,33,11901,10168548,Card
73,2463,74,Female,28,17736,10282617,Cash
74,2501,75,Female,59,15875,10050700,Cash
75,2529,76,Female,38,25142,10071245,Cash
76,2563,77,Female,60,11596,10013678,Card
77,2581,78,Male,25,13369,10130431,Card
78,2606,79,Female,34,20425,10293949,Cash
79,2638,80,Female,37,8040,10272695,Card
80,2667,81,Male,24,8257,10159270,Cash
81,2688,82,Male,27,3304,10003698,Card
82,2721,83,Female,22,23940,10106056,Cash
83,2768,84,Male,26,20449,10140670,Card
84,2807,85,Male,19,19765,10255576,Cash
85,2838,86,Male,53,8566,10297236,Cash
86,2868,87,Female,60,14602,10100551,Card
87,2896,88,Male,32,31206,10107839,Card
88,2934,89,Male,24,5505,10386579,Card
89,2978,90,Female,48,15095,10428956,Cash
90,3012,91,Male,35,18180,10294009,Card
91,3044,92,Female,29,8309,10406585,Card
92,3082,93,Male,29,6190,10044024,Card
93,3100,94,Male,36,4891,10394253,Card
94,3134,95,Male,39,11863,10431826,Card
95,3164,96,Male,42,15447,10201245,Cash
96,3197,97,Male,45,3855,10002250,Cash
97,3231,98,Male,35,12557,10259846,Card
98,3268,99,Male,26,7438,10148765,Cash
99,3300,100,Male,42,15913,10010243,Card
100,3339,101,Female,25,22053,10294003,Card
101,3376,102,Male,20,5189,10312852,Card
102,3408,103,Female,27,15676,10332672,Card
103,3438,104,Male,24,5519,10021217,Card
104,3483,105,Male,31,16003,10385020,Card
105,3522,106,Female,32,10550,10229704,Card
106,3548,107,Female,36,23170,10010006,Cash
107,3578,108,Female,33,22845,10144357,Cash
108,3612,109,Female,48,5897,10428966,Card
109,3641,110,Male,33,18701,10193113,Cash
110,3672,111,Male,22,14957,10205878,Cash
111,3708,112,Male,33,19344,10429104,Card
112,3734,113,Male,56,25900,10351904,Cash
113,3770,114,Female,38,5927,10372857,Card
114,3803,115,Male,62,21263,10431145,Card
115,3840,116,Male,33,19872,10155150,Card
116,3874,117,Male,61,19825,10126778,Card
117,3900,118,Female,32,6772,10111529,Cash
118,3937,119,Male,36,14402,10180667,Card
119,3972,120,Female,30,7530,10386867,Cash
120,4009,121,Female,37,14538,10104310,Card
121,4038,122,Male,36,34694,10273531,Card
122,4068,123,Male,64,13426,10161876,Card
123,4108,124,Female,22,30300,10010009,Cash
124,4146,125,Male,37,20037,10435739,Cash
125,4176,126,Female,18,10637,10080611,Card
